대분류,훈련과정명,1,2,3,4,5,6,7,8,9,10
웹개발(프론트엔드),인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,기본,기본,기본,기본,심화,기본,기본,없음,기본,심화
웹개발(프론트엔드),UXUI디자인&웹기획 프론트엔드 부트캠프,심화,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),"[KDT]웹퍼블리셔(UIUX)&프론트엔드개발(API,ChatGPT,피그마,리액트,뷰)기업플랫폼프로젝트",심화,기본,기본,기본,심화,없음,없음,없음,기본,심화
웹개발(프론트엔드),생성형 AI를 활용한 영상 웹퍼블리셔&프론트엔드(React) 개발자 양성,심화,기본,기본,기본,심화,기본,기본,없음,기본,심화
웹개발(프론트엔드),『프로젝트기반』프론트엔드 개발자 양성(Figma/React/Next.js/PHP/Mysql/chatGPT),기본,기본,기본,기본,심화,심화,심화,심화,기본,심화
웹개발(프론트엔드),"[이스트캠프] 오르미 프론트엔드 개발(React, HTML/CSS/JavaScript)",기본,심화,기본,기본,심화,기본,기본,심화,심화,심화
웹개발(프론트엔드),"[K-디지털]인공지능(AI) 활용 스마트웹개발자양성(Java,Python)",기본,기본,기본,없음,없음,없음,없음,심화,기본,심화
웹개발(프론트엔드),프로덕트 디자이너를 위한 프론트엔드 개발 융합 실무 과정,기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),React 기반 프론트엔드 개발자 취업 특화 과정,기본,기본,기본,기본,심화,기본,기본,없음,기본,심화
웹개발(프론트엔드),현대오토에버 웹&앱 개발 스쿨,심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
웹개발(프론트엔드),안드로이드 기반 앱 개발 실무 부트캠프,심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
웹개발(프론트엔드),초격차 캠프 프론트엔드 코스,기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
웹개발(프론트엔드),실무형 iOS 앱 개발자 양성과정,심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
