블록체인,,
,,
분 류,설명 ,난이도
블록체인 핵심 이론 및 암호학,"해시 함수, 공개키 암호화(ECC) 등 암호학 기초 및 블록체인의 무결성 원리 이해",없음/찍먹/기본/심화
합의 알고리즘 및 네트워크 구조,"PoW(작업증명), PoS(지분증명) 등 합의 메커니즘 이해 및 P2P 네트워크 구조 분석",없음/찍먹/기본/심화
이더리움 가상머신(EVM) 및 트랜잭션,"EVM의 동작 원리, 가스(Gas) 비용 산정 방식, 트랜잭션 수명 주기에 대한 심층 이해",없음/찍먹/기본/심화
지갑 구조 및 노드 운영,메타마스크 등 지갑의 HD(계층 결정적) 구조 이해 및 Geth 등을 활용한 로컬 노드 구축,없음/찍먹/기본/심화
Solidity 프로그래밍 기초 및 심화,"Solidity 문법 숙지 및 상속, 라이브러리, 메모리 관리 등 효율적인 컨트랙트 작성",없음/찍먹/기본/심화
토큰 표준(ERC) 및 탈중앙화 로직,"ERC-20(토큰), ERC-721(NFT) 등 핵심 표준 구현 및 투표(DAO), 스테이킹 로직 설계",없음/찍먹/기본/심화
컨트랙트 보안 및 테스트,Reentrancy 등 주요 해킹 기법 방어 및 Hardhat/Foundry를 활용한 유닛 테스트·배포 자동화,없음/찍먹/기본/심화
Web3 라이브러리 및 프론트엔드 연동,Ethers.js/Web3.js를 활용한 지갑 연동 및 블록체인 데이터의 프론트엔드(React) 시각화,없음/찍먹/기본/심화
DeFi 및 NFT 마켓플레이스 프로젝트,"DEX(탈중앙화 거래소), NFT 민팅 사이트 등 실제 토크노믹스가 적용된 DApp 서비스 구현",없음/찍먹/기본/심화
레이어2(L2) 및 오라클(Oracle) 활용,확장성 해결을 위한 Polygon/Optimism 네트워크 배포 및 Chainlink를 활용한 오프체인 데이터 연동,없음/찍먹/기본/심화
실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,없음/찍먹/기본/심화
