웹개발(프론트엔드),,
,,
분 류,설명 ,난이도
웹 퍼블리싱,화면을 구조화하고 스타일링하는 가장 기초 단계,없음/찍먹/기본/심화
자바스크립트 프로그래밍,"프레임워크를 배우기 전, 언어의 논리를 다지는 단계",없음/찍먹/기본/심화
비동기 프로그래밍 & 통신,데이터를 다루는 개발자의 핵심 역량,없음/찍먹/기본/심화
TypeScript,대규모 서비스의 유지보수를 위한 필수 안전장치,없음/찍먹/기본/심화
프론트엔드 프레임워크,실무에서 가장 많이 쓰는 도구를 배우는 메인 구간,없음/찍먹/기본/심화
상태 관리 & 성능 최적화,데이터 흐름 제어와 불필요한 렌더링 방지,없음/찍먹/기본/심화
웹 아키텍처 & SSR,하이브리드 렌더링 및 차세대 웹 애플리케이션 구축,없음/찍먹/기본/심화
백엔드 & 데이터베이스 기초,프론트엔드 개발자라도 백엔드를 알아야 협업이 가능,없음/찍먹/기본/심화
CS 지식 & 코딩 테스트,면접과 코딩 테스트를 통과하기 위한 준비,없음/찍먹/기본/심화
협업 배포 & 실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,없음/찍먹/기본/심화
