,,,커리큘럼,,,,,,,,,
훈련기관명,훈련과정명,대분류,1,2,3,4,5,6,7,8,9,10
더조은컴퓨터아카데미 종로,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,웹개발(프론트엔드),기본,기본,기본,기본,심화,기본,기본,없음,기본,심화
이젠아카데미DX교육센터,UXUI디자인&웹기획 프론트엔드 부트캠프,웹개발(프론트엔드),심화,기본,기본,없음,기본,없음,없음,없음,기본,심화
그린컴퓨터아트학원,"[KDT]웹퍼블리셔(UIUX)&프론트엔드개발(API,ChatGPT,피그마,리액트,뷰)기업플랫폼프로젝트",웹개발(프론트엔드),심화,기본,기본,기본,심화,없음,없음,없음,기본,심화
엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,생성형 AI를 활용한 영상 웹퍼블리셔&프론트엔드(React) 개발자 양성,웹개발(프론트엔드),심화,기본,기본,기본,심화,기본,기본,없음,기본,심화
그린컴퓨터아트학원,『프로젝트기반』프론트엔드 개발자 양성(Figma/React/Next.js/PHP/Mysql/chatGPT),웹개발(프론트엔드),기본,기본,기본,기본,심화,심화,심화,심화,기본,심화
(주)이스트소프트,"[이스트캠프] 오르미 프론트엔드 개발(React, HTML/CSS/JavaScript)",웹개발(프론트엔드),기본,심화,기본,기본,심화,기본,기본,심화,심화,심화
부산예일직업전문학교,"[K-디지털]인공지능(AI) 활용 스마트웹개발자양성(Java,Python)",웹개발(프론트엔드),기본,기본,기본,없음,없음,없음,없음,심화,기본,심화
주식회사구름,프로덕트 디자이너를 위한 프론트엔드 개발 융합 실무 과정,웹개발(프론트엔드),기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
주식회사구름,React 기반 프론트엔드 개발자 취업 특화 과정,웹개발(프론트엔드),기본,기본,기본,기본,심화,기본,기본,없음,기본,심화
한국전파진흥협회,현대오토에버 웹&앱 개발 스쿨,웹개발(프론트엔드),심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
주식회사멋쟁이사자처럼,안드로이드 기반 앱 개발 실무 부트캠프,웹개발(프론트엔드),심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
넥스트러너스평생교육시설,초격차 캠프 프론트엔드 코스,웹개발(프론트엔드),기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
팀스파르타주식회사,실무형 iOS 앱 개발자 양성과정,웹개발(프론트엔드),심화,기본,기본,없음,심화,없음,없음,없음,기본,심화
한국스마트정보교육원,기업요구 AI플랫폼응용 SW개발및클라우드배포 프로젝트 완성 과정,웹개발(프론트엔드),기본,기본,기본,없음,없음,없음,없음,없음,기본,심화
팀스파르타주식회사,앱 제작 실무 과정,웹개발(프론트엔드),기본,기본,기본,없음,없음,없음,없음,없음,기본,심화
주식회사멋쟁이사자처럼,기업 참여형 실무 중심 웹 프론트엔드 엔지니어 부트캠프,웹개발(프론트엔드),기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
코드잇 평생교육원,프론트엔드 엔지니어 부트캠프,웹개발(프론트엔드),기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
이젠아카데미DX교육센터,UXUI디자인 웹 프론트엔드개발 부트캠프(생성형AI 활용/피그마),웹개발(프론트엔드),심화,기본,기본,없음,기본,없음,없음,없음,기본,심화
(주)그렙,프로그래머스 데브코스: 클라우드 기반 프론트엔드 엔지니어링,웹개발(프론트엔드),기본,기본,기본,없음,기본,없음,없음,없음,기본,심화
