,,,커리큘럼,,,,,,,,,
훈련기관명,훈련과정명,대분류,1,2,3,4,5,6,7,8,9,10
연희직업전문학교(주),스마트 모빌리티 부트캠프 : 웹&모바일 통합 AI 자율주행 로봇 테크코스,임베디드(IOT),기본,기본,기본,기본,없음,없음,없음,심화,심화,심화
삼성국민취업아카데미(주),"[ 로봇 ] AI 영상기법을 활용한 실용적인 산업화 자율주행, 서비스 협동로봇 개발자 과정 (라이다, 뎁스카메라)",임베디드(IOT),기본,기본,심화,기본,없음,없음,없음,기본,심화,심화
삼성국민취업아카데미(주),"융합_[ ESG ] AIoT를 활용한 스마트 환경공정제어 자동화시스템 구축 (MES, ERP, PLC)",임베디드(IOT),기본,심화,심화,없음,없음,없음,없음,심화,심화,심화
한국직업능력교육원 안산,"AI사물인터넷 MCU기반(STM32,ESP32) 임베디드펌웨어 전문가양성",임베디드(IOT),심화,심화,심화,기본,없음,없음,없음,기본,심화,심화
한국전파진흥협회,LIG넥스원 The SSEN 임베디드SW 스쿨,임베디드(IOT),심화,기본,기본,심화,없음,없음,없음,기본,기본,심화
한국직업능력교육원(구.열린드림기술교육원),"IoT기반 스마트팩토리(PLC,HMI,SCADA) 제어설계",임베디드(IOT),기본,심화,심화,없음,없음,없음,없음,심화,심화,심화
그린컴퓨터아카데미,"IoT 지능형 관리시스템 웹&앱 개발자 양성과정(Java,Python,React)",임베디드(IOT),기본,기본,기본,기본,없음,심화,없음,심화,심화,심화
대한상공회의소 경기인력개발원,온디바이스 AI 반도체설계,임베디드(IOT),심화,기본,기본,기본,없음,없음,없음,기본,심화,심화
DW아카데미학원,AIOT 기반 드론 영상 관제시스템 프로젝트 개발,임베디드(IOT),기본,기본,심화,기본,기본,심화,없음,기본,심화,심화
대한상공회의소,융합_[현대건설] Smart 안전,임베디드(IOT),기본,기본,심화,기본,없음,없음,없음,기본,기본,심화
한국표준협회,차량용 반도체 IC 설계 및 프로젝트 실무인력 양성과정,임베디드(IOT),기본,기본,기본,기본,없음,없음,없음,기본,기본,심화
목포국제직업전문학교,AIoT 무인선박 스마트시스템 개발자 양성과정,임베디드(IOT),기본,기본,심화,기본,기본,심화,없음,심화,심화,심화
한국전파진흥협회,현대오토에버 모빌리티 임베디드 SW 스쿨,임베디드(IOT),기본,기본,심화,기본,없음,없음,없음,기본,기본,심화
한국전파진흥협회,현대오토에버 스마트팩토리 스쿨,임베디드(IOT),기본,심화,심화,없음,없음,없음,없음,심화,심화,심화
대신IT평생교육원,스마트팜 전문가양성 과정,임베디드(IOT),기본,기본,심화,기본,없음,없음,없음,기본,기본,심화
현대경제연구원 인재개발원,[HDC Labs]생성형 AI 활용 스마트 IoT 분석 및 서비스 개발 과정,임베디드(IOT),기본,기본,심화,기본,없음,없음,없음,심화,심화,심화
현대경제연구원 인재개발원,[HDC Labs] 스마트 IoT 풀스택 개발자 과정,임베디드(IOT),기본,기본,기본,기본,없음,없음,없음,심화,심화,심화
한국표준협회,[NHN] 인공지능 기반 IoT 웹서비스 개발자 양성과정,임베디드(IOT),기본,기본,기본,기본,없음,없음,없음,심화,심화,심화
한국표준협회,기타_[한화에어로스페이스] Space Challenger Academy – 항공우주 기기설계,임베디드(IOT),기본,기본,기본,심화,없음,없음,없음,기본,기본,심화
이젠아카데미컴퓨터학원,카티아 자동화로봇 설계 & 스마트팩토리 디지털트윈 부트캠프,임베디드(IOT),기본,심화,심화,없음,없음,없음,없음,심화,심화,심화
글로벌산업기술교육원,"자율비행 드론 설계 및 제작(솔리드웍스,카티아,3D프린터,제어)",임베디드(IOT),기본,심화,심화,기본,없음,없음,없음,기본,기본,심화
대한상공회의소부산인력개발원,융합_AIoT 반도체설계 Academy,임베디드(IOT),심화,기본,심화,기본,없음,없음,없음,심화,심화,심화
