데이터엔지니어,,
,,
분 류,설명 ,난이도
프로그래밍 & 리눅스,데이터라는 자재를 다루는 가장 기본적인 도구,없음/찍먹/기본/심화
데이터베이스 & SQL,데이터 저장소에서 원하는 자료를 정확하고 빠르게 꺼내는 법을 배움,없음/찍먹/기본/심화
데이터 웨어하우스,여기저기 흩어진 데이터를 분석하기 좋게 한곳에 모아두는 기술,없음/찍먹/기본/심화
대용량 분산 처리,컴퓨터 한 대로 처리 못 하는 엄청난 양의 데이터를 컴퓨터 여러대가 나눠서 계산하게 시키는 팀플레이 기술,없음/찍먹/기본/심화
워크플로우 자동화,매일 데이터를 가져와서 정리하라고 자동화 함,없음/찍먹/기본/심화
실시간 데이터 처리,1초에 수천 건씩 쏟아지는 데이터를 막힘없이 처리,없음/찍먹/기본/심화
클라우드 인프라,클라우드를 빌려서 거대한 데이터 센터를 구축,없음/찍먹/기본/심화
컨테이너 & 배포,내 코드가 어떤 컴퓨터에서든 똑같이 실행되도록 표준 규격 컨테이너에 포장해서 배포,없음/찍먹/기본/심화
데이터 품질 & 테스트,데이터에 구멍이 있거나 이상한 값이 섞여 있지 않은지 감시하는 품질 관리원 역할,없음/찍먹/기본/심화
실무 프로젝트,최종 결과물을 만들고 서비스하는 단계,없음/찍먹/기본/심화
